                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.41323,                0.32725,                 1.0436,                0.92809,                0.94562,                0.96502,                0.89652,                0.46331,                0.38846,                0.97474,             0.00037031,             0.00037031,             0.00037031
                     58,                0.41415,                0.32155,                 1.0331,                 0.9393,                0.95946,                 0.9647,                0.89703,                0.46474,                0.35559,                0.96586,             0.00034674,             0.00034674,             0.00034674
                     59,                0.40916,                0.32438,                 1.0313,                 0.9136,                0.92362,                0.97014,                0.90371,                0.47366,                0.43255,                0.97788,             0.00032316,             0.00032316,             0.00032316
                     60,                0.40704,                0.31211,                 1.0298,                0.94696,                0.96828,                0.97764,                0.90012,                0.48258,                0.39953,                0.99267,             0.00029958,             0.00029958,             0.00029958
                     61,                 0.3574,                0.28614,                 1.0739,                0.88627,                0.96844,                0.97184,                 0.8948,                0.47473,                0.41686,                0.98458,             0.00027601,             0.00027601,             0.00027601
                     62,                0.34154,                0.24224,                 1.0425,                0.90784,                0.96343,                0.96281,                0.88413,                0.50345,                0.40014,                 1.0077,             0.00025243,             0.00025243,             0.00025243
                     63,                 0.3204,                   0.23,                 1.0191,                0.92189,                0.92519,                0.94855,                0.86933,                0.51621,                0.40914,                 1.0218,             0.00022886,             0.00022886,             0.00022886
                     64,                 0.3318,                0.23041,                 1.0335,                0.94023,                0.95982,                0.97159,                0.90781,                 0.4563,                0.38206,                0.95163,             0.00020528,             0.00020528,             0.00020528
                     65,                0.31975,                0.21543,                 1.0228,                0.94437,                0.95311,                 0.9698,                0.90008,                0.46549,                  0.387,                0.96508,              0.0001817,              0.0001817,              0.0001817
                     66,                0.31524,                0.21543,                 1.0187,                0.93276,                0.95817,                0.95735,                0.88918,                0.43867,                 0.3727,                0.93404,             0.00015813,             0.00015813,             0.00015813
                     67,                0.30164,                0.20931,                 1.0132,                 0.9349,                0.95982,                0.96485,                0.89573,                0.45698,                0.35388,                0.95268,             0.00013455,             0.00013455,             0.00013455
                     68,                0.30484,                0.21246,                 1.0009,                0.91461,                0.97262,                0.96049,                0.89753,                0.45606,                0.36138,                0.94717,             0.00011097,             0.00011097,             0.00011097
                     69,                0.29984,                0.20489,                 1.0135,                0.95744,                 0.9322,                0.96102,                0.89628,                 0.4555,                0.34778,                0.95623,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     70,                0.29556,                0.19863,                 1.0002,                0.90017,                0.98196,                0.96507,                0.90037,                0.44254,                0.34482,                0.92834,             6.3822e-05,             6.3822e-05,             6.3822e-05
